 ,Rxns,Reactions,Gene-Protein Rules,Lower Bound,Upper Bound
rn00860 Porphyrin metabolism; rn01240 Biosynthesis of cofactors,Cobalt-precorrin 7 + S-Adenosyl-L-methionine <=> Cobalt-precorrin 8 + S-Adenosyl-L-homocysteine,amet[c] + copre7[c]  <=> ahcys[c] + copre8[c] ,MCON_1678,-20,20
rn00900 Terpenoid backbone biosynthesis; rn01110 Biosynthesis of secondary metabolites,Isopentenyl diphosphate <=> Dimethylallyl diphosphate,ipdp[c]  <=> dmpp[c] ,MCON_2557,-20,20
rn00900 Terpenoid backbone biosynthesis; rn01110 Biosynthesis of secondary metabolites,Dimethylallyl diphosphate + Isopentenyl diphosphate <=> Diphosphate + Geranyl diphosphate,ipdp[c] + dmpp[c]  <=> ppi[c] + grdp[c] ,MCON_2555,-20,20
rn00900 Terpenoid backbone biosynthesis; rn01110 Biosynthesis of secondary metabolites,"Geranyl diphosphate + Isopentenyl diphosphate <=> Diphosphate + trans,trans-Farnesyl diphosphate",ipdp[c] + grdp[c]  <=> ppi[c] + frdp[c] ,MCON_2555,-20,20
rn00900 Terpenoid backbone biosynthesis; rn01110 Biosynthesis of secondary metabolites,"trans,trans-Farnesyl diphosphate + Isopentenyl diphosphate <=> Diphosphate + Geranylgeranyl diphosphate",ipdp[c] + frdp[c]  <=> ppi[c] + grdp[c] ,MCON_2555,-20,20
rn00900 Terpenoid backbone biosynthesis; rn01110 Biosynthesis of secondary metabolites,(R)-Mevalonate + CoA + 2 NAD+ <=> (S)-3-Hydroxy-3-methylglutaryl-CoA + 2 NADH + 2 H+,2 nad[c] + coa[c] + mevR[c]  <=> 2 nadh[c] + 2 h[c] + hmgcoa[c] ,MCON_2640,-20,20
rn00900 Terpenoid backbone biosynthesis; rn01110 Biosynthesis of secondary metabolites,ATP + (R)-Mevalonate <=> ADP + (R)-5-Phosphomevalonate,atp[c] + mevR[c]  <=> adp[c] + 5pmev[c] ,MCON_2559,-20,20
rn00900 Terpenoid backbone biosynthesis; rn01110 Biosynthesis of secondary metabolites,"trans,trans-Farnesyl diphosphate + 5 Isopentenyl diphosphate <=> all-trans-Octaprenyl diphosphate + 5 Diphosphate",5 ipdp[c] + frdp[c]  <=> 5 ppi[c] + octdp[c] ,MCON_2794,-20,20
rn00900 Terpenoid backbone biosynthesis; rn01110 Biosynthesis of secondary metabolites,ATP + Isopentenyl phosphate <=> ADP + Isopentenyl diphosphate,atp[c] + ipdp[c]  <=> adp[c] + ipdp[c] ,MCON_2558,-20,20
rn00900 Terpenoid backbone biosynthesis; rn01110 Biosynthesis of secondary metabolites,(R)-5-Phosphomevalonate <=> trans-Anhydromevalonate 5-phosphate + H2O,5pmev[c]  <=> h2o[c] + tahm[c] ,MCON_2875 | MCON_2874,-20,20
rn00900 Terpenoid backbone biosynthesis; rn01110 Biosynthesis of secondary metabolites,trans-Anhydromevalonate 5-phosphate <=> Isopentenyl phosphate + CO2,tahm[c]  <=> co2[c] + ipdp[c] ,MCON_1237,-20,20
rn00910 Nitrogen metabolism,Ammonia + NAD+ + H2O <=> Hydroxylamine + NADH + H+,h2o[c] + nad[c] + nh4[c]  <=> nadh[c] + h[c] + hdxl[c] ,MCON_2044,-20,20
rn00910 Nitrogen metabolism,ATP + Carbamate <=> ADP + Carbamoyl phosphate,atp[c] + cbmt[c]  <=> adp[c] + cbp[c] ,MCON_0086 | MCON_1025 | MCON_1026 | MCON_2233,-20,20
rn00910 Nitrogen metabolism,HCO3- + H+ <=> CO2 + H2O,h[c] + hco3[c]  <=> h2o[c] + co2[c] ,MCON_1210,-20,20
rn00920 Sulfur metabolism,Thiosulfate + Cyanide ion <=> Sulfite + Thiocyanate, + tsul[c]  <=> so3[c] + tcynt[c] ,MCON_1529 | MCON_1376 | MCON_2997 | MCON_2998 | MCON_3198 | MCON_3199 | MCON_3231,-20,20
rn00920 Sulfur metabolism,S-Adenosyl-L-methionine + Methanethiol <=> S-Adenosyl-L-homocysteine + Dimethyl sulfide,amet[c] + ch4s[c]  <=> ahcys[c] + dms[c] ,MCON_0211 | MCON_2076,-20,20
rn00983 Drug metabolism - other enzymes,5-FU + 5-Phospho-alpha-D-ribose 1-diphosphate <=> 5-Fluorouridine monophosphate + Diphosphate,prpp[c] + 5flura[c]  <=> ppi[c] + 5flurimp[c] ,MCON_1953,-20,20
rn00983 Drug metabolism - other enzymes,6-Mercaptopurine ribonucleoside triphosphate + H2O <=> 6-Thioinosine-5'-monophosphate + Diphosphate,h2o[c] + 6tins5tp[c]  <=> ppi[c] + 6tin5mp[c] ,MCON_0926,-20,20
rn00983 Drug metabolism - other enzymes,6-Thioxanthine 5'-monophosphate + ATP + L-Glutamine + H2O <=> 6-Thioguanosine monophosphate + AMP + Diphosphate + L-Glutamate,h2o[c] + atp[c] + gln_L[c] + 6txth5mp[c]  <=> ppi[c] + amp[c] + glu_L[c] + 6tgsnmp[c] ,MCON_0459 | MCON_1034,-20,20
rn00983 Drug metabolism - other enzymes,ATP + 5-Fluorouridine diphosphate <=> ADP + 5-Fluorouridine triphosphate,atp[c] + 5furippi[c]  <=> adp[c] + 5furitp[c] ,MCON_1703,-20,20
rn00983 Drug metabolism - other enzymes,ATP + 5-Fluorodeoxyuridine diphosphate <=> ADP + 5-Fluorodeoxyuridine triphosphate,atp[c] + 5fdouppi[c]  <=> adp[c] + 5fdoutp[c] ,MCON_1703,-20,20
rn00983 Drug metabolism - other enzymes,5-Fluorodeoxyuridine triphosphate + H2O <=> 5-Fluorodeoxyuridine monophosphate + Diphosphate,h2o[c] + 5fdoutp[c]  <=> ppi[c] + 5fdoump[c] ,MCON_0264,-20,20
rn01040 Biosynthesis of unsaturated fatty acids,Stearoyl-CoA + H2O <=> CoA + Octadecanoic acid,h2o[c] + stcoa[c]  <=> coa[c] + octadecacid[c] ,MCON_1799,-20,20
rn01040 Biosynthesis of unsaturated fatty acids,Eicosanoyl-CoA + H2O <=> CoA + Icosanoic acid,h2o[c] + arachcoa[c]  <=> coa[c] + arach[c] ,MCON_1799,-20,20
rn01040 Biosynthesis of unsaturated fatty acids,Oleoyl-CoA + H2O <=> CoA + (9Z)-Octadecenoic acid,h2o[c] + odecoa[c]  <=> coa[c] + elaid[c] ,MCON_1799,-20,20
rn01040 Biosynthesis of unsaturated fatty acids,Linoleoyl-CoA + H2O <=> CoA + Linoleate,h2o[c] + lnlccoa[c]  <=> coa[c] + lnlc[c] ,MCON_1799,-20,20
rn01040 Biosynthesis of unsaturated fatty acids,"(9Z,12Z,15Z)-Octadecatrienoyl-CoA + H2O <=> CoA + (9Z,12Z,15Z)-Octadecatrienoic acid",h2o[c] + lnlncacoa[c]  <=> coa[c] + lnlnca[c] ,MCON_1799,-20,20
rn01040 Biosynthesis of unsaturated fatty acids,"(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoyl-CoA + H2O <=> CoA + (5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid",h2o[c] + tmndnccoa[c]  <=> coa[c] + tmndnc[c] ,MCON_1799,-20,20
rn01040 Biosynthesis of unsaturated fatty acids,"(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoyl-CoA + H2O <=> CoA + (4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid",h2o[c] + 4z7z10z13z16z19zdocoecoa[c]  <=> coa[c] + crvnc[c] ,MCON_1799,-20,20
rn01040 Biosynthesis of unsaturated fatty acids,"gamma-Linolenoyl-CoA + H2O <=> CoA + (6Z,9Z,12Z)-Octadecatrienoic acid",h2o[c] + lnlncgcoa[c]  <=> coa[c] + lnlncg[c] ,MCON_1799,-20,20
rn01040 Biosynthesis of unsaturated fatty acids,"8,11,14-Eicosatrienoyl-CoA + H2O <=> CoA + Dihomo-gamma-linolenate",h2o[c] + dlnlcgcoa[c]  <=> coa[c] + dlnlcg[c] ,MCON_1799,-20,20
rn01040 Biosynthesis of unsaturated fatty acids,Arachidonyl-CoA + H2O <=> CoA + Arachidonate,h2o[c] + arachdcoa[c]  <=> coa[c] + arachd[c] ,MCON_1799,-20,20
rn01210 2-Oxocarboxylic acid metabolism,Oxaloglutarate <=> 2-Oxoadipate + CO2,oxag[c]  <=> co2[c] + 2oxoadp ,MCON_1920,-20,20
rn01210 2-Oxocarboxylic acid metabolism,Homoisocitrate + NAD+ <=> Oxaloglutarate + NADH + H+,nad[c] + hicit[c]  <=> nadh[c] + h[c] + oxag[c] ,MCON_1920,-20,20
rn01210 2-Oxocarboxylic acid metabolism; rn01240 Biosynthesis of cofactors,(R)-(Homo)2-citrate <=> (-)-threo-Iso(homo)2-citrate,Rh2cit[c]  <=> tih2cit[c] ,MCON_0444 | MCON_1922,-20,20
rn01210 2-Oxocarboxylic acid metabolism; rn01240 Biosynthesis of cofactors,(R)-(Homo)3-citrate <=> (-)-threo-Iso(homo)3-citrate,Rh3cit[c]  <=> tih3cit[c] ,MCON_0444 | MCON_1922,-20,20
